CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income cluster
1,Male,19,15,39,2,0
2,Male,21,15,81,2,3
3,Female,20,16,6,2,0
4,Female,23,16,77,2,3
5,Female,31,17,40,2,0
6,Female,22,17,76,2,3
7,Female,35,18,6,2,0
8,Female,23,18,94,2,3
9,Male,64,19,3,2,0
10,Female,30,19,72,2,3
11,Male,67,19,14,2,0
12,Female,35,19,99,2,3
13,Female,58,20,15,2,0
14,Female,24,20,77,2,3
15,Male,37,20,13,2,0
16,Male,22,20,79,2,3
17,Female,35,21,35,2,0
18,Male,20,21,66,2,3
19,Male,52,23,29,2,0
20,Female,35,23,98,2,3
21,Male,35,24,35,2,0
22,Male,25,24,73,2,3
23,Female,46,25,5,2,0
24,Male,31,25,73,2,3
25,Female,54,28,14,2,0
26,Male,29,28,82,2,3
27,Female,45,28,32,2,0
28,Male,35,28,61,2,3
29,Female,40,29,31,2,0
30,Female,23,29,87,2,3
31,Male,60,30,4,2,0
32,Female,21,30,73,2,3
33,Male,53,33,4,2,0
34,Male,18,33,92,2,3
35,Female,49,33,14,2,0
36,Female,21,33,81,2,3
37,Female,42,34,17,2,0
38,Female,30,34,73,2,3
39,Female,36,37,26,2,0
40,Female,20,37,75,2,3
41,Female,65,38,35,2,0
42,Male,24,38,92,2,3
43,Male,48,39,36,2,0
44,Female,31,39,61,2,2
45,Female,49,39,28,2,0
46,Female,24,39,65,2,3
47,Female,50,40,55,2,2
48,Female,27,40,47,2,2
49,Female,29,40,42,2,2
50,Female,31,40,42,2,2
51,Female,49,42,52,2,2
52,Male,33,42,60,2,2
53,Female,31,43,54,2,2
54,Male,59,43,60,2,2
55,Female,50,43,45,2,2
56,Male,47,43,41,2,2
57,Female,51,44,50,2,2
58,Male,69,44,46,2,2
59,Female,27,46,51,2,2
60,Male,53,46,46,2,2
61,Male,70,46,56,2,2
62,Male,19,46,55,2,2
63,Female,67,47,52,2,2
64,Female,54,47,59,2,2
65,Male,63,48,51,2,2
66,Male,18,48,59,2,2
67,Female,43,48,50,2,2
68,Female,68,48,48,2,2
69,Male,19,48,59,2,2
70,Female,32,48,47,2,2
71,Male,70,49,55,2,2
72,Female,47,49,42,2,2
73,Female,60,50,49,2,2
74,Female,60,50,56,2,2
75,Male,59,54,47,0,2
76,Male,26,54,54,0,2
77,Female,45,54,53,0,2
78,Male,40,54,48,0,2
79,Female,23,54,52,0,2
80,Female,49,54,42,0,2
81,Male,57,54,51,0,2
82,Male,38,54,55,0,2
83,Male,67,54,41,0,2
84,Female,46,54,44,0,2
85,Female,21,54,57,0,2
86,Male,48,54,46,0,2
87,Female,55,57,58,0,2
88,Female,22,57,55,0,2
89,Female,34,58,60,0,2
90,Female,50,58,46,0,2
91,Female,68,59,55,0,2
92,Male,18,59,41,0,2
93,Male,48,60,49,0,2
94,Female,40,60,40,0,2
95,Female,32,60,42,0,2
96,Male,24,60,52,0,2
97,Female,47,60,47,0,2
98,Female,27,60,50,0,2
99,Male,48,61,42,0,2
100,Male,20,61,49,0,2
101,Female,23,62,41,0,2
102,Female,49,62,48,0,2
103,Male,67,62,59,0,2
104,Male,26,62,55,0,2
105,Male,49,62,56,0,2
106,Female,21,62,42,0,2
